Name,Al2O3,CaO,FeO,K2O,MgO,MnO,Na2O,SiO2,TiO2,P2O5,C
AndesiteAGV2,0.1691,0.052,0.0669,0.0288,0.0179,0.000994,0.0419,0.593,0.0105,0.0048,0
AndesiteJA1,0.1522,0.057,0.0707,0.0077,0.0157,0.00157,0.0384,0.6397,0.0085,0.00165,0.000271
AndesiteJA2,0.1541,0.0629,0.0621,0.0181,0.076,0.00108,0.0311,0.5642,0.0066,0.00146,0.000141
AndesiteJA3,0.1556,0.0624,0.066,0.0141,0.0372,0.00104,0.0319,0.6227,0.007,0.00116,0.000061
AnhydriteGUWAN,0.00023,0.407,0.00014,0.00013,0.0034,0.00002,0.00032,0.0022,0.00003,0,0.0065
Anorthosite2120,0.2278,0.1006,0.1092,0.0076,0.021,0.00076,0.0404,0.5177,0.0187,0.0014,0.0036
AnorthositeMO11,0.2742,0.1095,0.0174,0.0065,0.0049,0.00037,0.0439,0.5346,0.0018,0.00041,0
AnorthositeANG,0.298,0.159,0.0336,0.0013,0.018,0.0004,0.0163,0.463,0.0022,0.0001,0.0013
AragoniteUNSAK,0.0011,0.549,0.0013,0.00037,0.0011,0.0000257,0.00047,0.0064,0,0.00029,0.43
BasaltBCR2,0.135,0.0712,0.138,0.0179,0.0359,0.001962664,0.0316,0.541,0.0226,0.0035,0
BasaltBHVO2,0.135,0.114,0.123,0.0052,0.0723,0.001665682,0.0222,0.499,0.0273,0.0027,0
BasaltJB2,0.1464,0.0982,0.1425,0.0042,0.0462,0.00218,0.0204,0.5325,0.0119,0.00101,0.000281
BlackSoil,0.0981,0.016,0.0348,0.0242,0.0095,0.00079,0.0081,0.7149,0.0074,0.0018,0
Borax,0.0741,0.13,0.0018,0.0113,0.0022,0,0.0867,0.518,0.0003,0,0
Coulsonite,0.044,0.0105,0.754333,0,0.0317,0.00364,0,0.0396,0.1296,0.00005041,0
CuMo,0.1635,0.0029,0.0395,0.0368,0.0071,0.0002,0.0159,0.6702,0.0047,0,0
FlintClay,0.3924,0.00035,0.0118,0.0062,0.0018,0.00006,0.00066,0.424,0.024,0.00045,0
GabbroJGb2,0.2348,0.141,0.0669,0.00059,0.0618,0.0013,0.0092,0.4647,0.0056,0.00017,0
