Std name,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,C,MnO,B2O3
AndesiteJA1,0.6397,0.1522,0.0707,0.0157,0.057,0.0384,0.0077,0.0085,0.00165,0.000271,0.00157,0.000067617
AndesiteJA2,0.5642,0.1541,0.0621,0.076,0.0629,0.0311,0.0181,0.0066,0.00146,0.000141,0.00108,0.000066651
AndesiteJA3,0.6227,0.1556,0.066,0.0372,0.0624,0.0319,0.0141,0.007,0.00116,0.000061,0.00104,0.000079852
AndesiteAGV2,0.593,0.1691,0.0669,0.0179,0.052,0.0419,0.0288,0.0105,0.0048,0,0.000994,0
AnorthositeMO11,0.5346,0.2742,0.0174,0.0049,0.1095,0.0439,0.0065,0.0018,0.00041,0,0.00037,0.00001449
Anorthosite2120,0.5177,0.2278,0.1092,0.021,0.1006,0.0404,0.0076,0.0187,0.0014,0.0036,0.00076,0
BasaltJB2,0.5325,0.1464,0.1425,0.0462,0.0982,0.0204,0.0042,0.0119,0.00101,0.000281,0.00218,0.000009724
BasaltBCR2,0.541,0.135,0.138,0.0359,0.0712,0.0316,0.0179,0.0226,0.0035,0,0.001962664,0
BasaltBHVO2,0.499,0.135,0.123,0.0723,0.114,0.0222,0.0052,0.0273,0.0027,0,0.001665682,0
BlackSoil,0.7149,0.0981,0.0348,0.0095,0.016,0.0081,0.0242,0.0074,0.0018,0,0.00079,0.000180313
BoraxFritAN30,0.518,0.0741,0.0018,0.0022,0.13,0.0867,0.0113,0.0003,0,0,0,0.174
CoulsoniteDC19003a,0.0396,0.044,0.754333,0.0317,0.0105,0,0,0.1296,0.00005041,0,0.00364,0
CuMo385,0.6702,0.1635,0.0395,0.0071,0.0029,0.0159,0.0368,0.0047,0,0,0.0002,0
Fer2,0.4896,0.0522,0.395,0.0208,0.0216,0.00506,0.01306,0.00188,0.0027,0.00058,0.00125,0.000196413
FlintClay,0.424,0.3924,0.0118,0.0018,0.00035,0.00066,0.0062,0.024,0.00045,0,0.00006,0
GraniteJG2,0.7683,0.1247,0.0097,0.00037,0.007,0.0354,0.0471,0.00044,0.00002,0.000035,0.00016,5.73138E-06
GreySoil,0.5265,0.1148,0.046,0.0299,0.1147,0.0164,0.0209,0.0064,0.0017,0,0.00089,0.00020285
IronOreDC11013,0.4827,0.0074,0.464392,0.0286,0.0099,0.00065,0.00165,0.00043,0.001237338,0,0.00093,0
Kaolin,0.5455,0.3141,0.005,0.0012,0.00052,0.00015,0.0034,0.0069,0.00099,0.00026,0.000032,0
KFeldspar,0.6626,0.1863,0.0019,0.00054,0.0076,0.0369,0.096,0.00048,0,0,0,0
MnOreDC47005,0.2224,0.03,0.032026,0.0144,0.036,0.00048,0.0046,0.001,0.001856007,0,0.577893,0
Obsidian,0.7305,0.1415,0.0204,0.0023,0.00983,0.0484,0.0416,0.00245,0.00036,0.0005,0.00052,0.000080497
OrthoGabbro,0.4079,0.176,0.1235,0.0646,0.1462,0.0205,0.0075,0.0339,0.0108,0.0003,0.0015,0.00001449
PyroxeniteSARM5,0.511,0.0418,0.127,0.2533,0.0266,0.0037,0.0009,0.002,0.000206223,0.0029314,0.00022,0
RedClayVS537290,0.488,0.1597,0.0943,0.0317,0.0303,0.035,0.0279,0.0098,0.0072,0.002727,0.0177,0.0002254
RedSoil,0.5918,0.1701,0.0786,0.0092,0.0017,0.0015,0.0098,0.0156,0.001,0,0.00051,0.000193193
Rock71305,0.7278,0.1296,0.0322,0.0016,0.0059,0.0257,0.0543,0.003,0.00045,0.0052,0.0014,0.00001127
Rock71306,0.0062,0.001,0.0021,0.218,0.3002,0.0003,0.00038,0.00015,0.00006,0.4677,0.0001,6.60075E-05
Rock73302,0.6062,0.1617,0.0729,0.0172,0.052,0.0386,0.0189,0.00286981,0.000928,0.000409,0.00059784,7.72771E-05
Sediments,0.7054,0.1129,0.0524,0.0048,0.0052,0.0167,0.0221,0.0062,0.0028,0,0.0011,0.00051518
Sillimanite,0.341,0.611,0.0151,0.0017,0.0022,0.0034,0.0046,0.0192,0,0,0,0
SyeniteJSy1,0.6002,0.2317,0.00084,0.00016,0.0025,0.1074,0.0482,0.000015,0.00014,0.00034,0.000024,0.00044434
SyeniteSARM2,0.6363,0.1734,0.014,0.0046,0.0068,0.0043,0.1535,0.0004422,0.0012,0.024562,0.000103,0
TiOreSARM59,0.0075,0.0061,0.503,0.0056,0.0005,0,0,0.488,0,0,0.0105,0
UBRock,0.3434,0.0067,0.069,0.4103,0.001,0.00008,0.0001,0.00008,0.00004,0.0058,0.00068,0.0000019
Wollastonite,0.505,0.0039,0.0038,0.0095,0.4039,0.00052,0.0014,0.00022,0.00052,0,0.00096,0
SiO2,1,0,0,0,0,0,0,0,0,0,0,0
